survey version standard shift  ATLAS-c0 ATLAS-o0 ATLAS-c1 ATLAS-o1 ATLAS-c2 ATLAS-o2 ATLAS-c3 ATLAS-o3 ATLAS-c4 ATLAS-o4 ATLAS-c5 ATLAS-o5 ATLAS-c6 ATLAS-o6 ATLAS-c7 ATLAS-o7 ATLAS-c8 ATLAS-o8 
ATLAS ATLAS sdssj235144 0 18.2041 18.5739 18.2041 18.5739 18.2041 18.5739 18.2041 18.5739 18.2041 18.5739 18.2041 18.5739 18.2041 18.5739 18.2041 18.5739 18.2041 18.5739
ATLAS ATLAS sdssj235144 0 18.2007 18.5699 18.2007 18.5699 18.2007 18.5699 18.2007 18.5699 18.2007 18.5699 18.2007 18.5699 18.2007 18.5699 18.2007 18.5699 18.2007 18.5699
ATLAS ATLAS sdssj235144 0 18.204 18.5737 18.204 18.5737 18.204 18.5737 18.204 18.5737 18.204 18.5737 18.204 18.5737 18.204 18.5737 18.204 18.5737 18.204 18.5737
ATLAS ATLAS sdssj235144 0 18.2048 18.5736 18.2048 18.5736 18.2048 18.5736 18.2048 18.5736 18.2048 18.5736 18.2048 18.5736 18.2048 18.5736 18.2048 18.5736 18.2048 18.5736
ATLAS ATLAS sdssj235144 0 18.2031 18.5723 18.2031 18.5723 18.2031 18.5723 18.2031 18.5723 18.2031 18.5723 18.2031 18.5723 18.2031 18.5723 18.2031 18.5723 18.2031 18.5723
ATLAS ATLAS sdssj235144 0 18.2002 18.5718 18.2002 18.5718 18.2002 18.5718 18.2002 18.5718 18.2002 18.5718 18.2002 18.5718 18.2002 18.5718 18.2002 18.5718 18.2002 18.5718
ATLAS ATLAS sdssj235144 0 18.2007 18.5708 18.2007 18.5708 18.2007 18.5708 18.2007 18.5708 18.2007 18.5708 18.2007 18.5708 18.2007 18.5708 18.2007 18.5708 18.2007 18.5708
ATLAS ATLAS sdssj235144 0 18.1996 18.571 18.1996 18.571 18.1996 18.571 18.1996 18.571 18.1996 18.571 18.1996 18.571 18.1996 18.571 18.1996 18.571 18.1996 18.571
ATLAS ATLAS sdssj235144 0 18.2014 18.5705 18.2014 18.5705 18.2014 18.5705 18.2014 18.5705 18.2014 18.5705 18.2014 18.5705 18.2014 18.5705 18.2014 18.5705 18.2014 18.5705
ATLAS ATLAS sdssj235144 0 18.2037 18.5723 18.2037 18.5723 18.2037 18.5723 18.2037 18.5723 18.2037 18.5723 18.2037 18.5723 18.2037 18.5723 18.2037 18.5723 18.2037 18.5723
ATLAS ATLAS sdssj235144 0 18.2023 18.5729 18.2023 18.5729 18.2023 18.5729 18.2023 18.5729 18.2023 18.5729 18.2023 18.5729 18.2023 18.5729 18.2023 18.5729 18.2023 18.5729
ATLAS ATLAS sdssj235144 0 18.1998 18.5701 18.1998 18.5701 18.1998 18.5701 18.1998 18.5701 18.1998 18.5701 18.1998 18.5701 18.1998 18.5701 18.1998 18.5701 18.1998 18.5701
ATLAS ATLAS sdssj235144 0 18.2034 18.572 18.2034 18.572 18.2034 18.572 18.2034 18.572 18.2034 18.572 18.2034 18.572 18.2034 18.572 18.2034 18.572 18.2034 18.572
ATLAS ATLAS sdssj235144 0 18.1996 18.5689 18.1996 18.5689 18.1996 18.5689 18.1996 18.5689 18.1996 18.5689 18.1996 18.5689 18.1996 18.5689 18.1996 18.5689 18.1996 18.5689
ATLAS ATLAS sdssj235144 0 18.2022 18.5727 18.2022 18.5727 18.2022 18.5727 18.2022 18.5727 18.2022 18.5727 18.2022 18.5727 18.2022 18.5727 18.2022 18.5727 18.2022 18.5727
ATLAS ATLAS sdssj235144 0 18.2012 18.5719 18.2012 18.5719 18.2012 18.5719 18.2012 18.5719 18.2012 18.5719 18.2012 18.5719 18.2012 18.5719 18.2012 18.5719 18.2012 18.5719
ATLAS ATLAS sdssj235144 0 18.2034 18.5734 18.2034 18.5734 18.2034 18.5734 18.2034 18.5734 18.2034 18.5734 18.2034 18.5734 18.2034 18.5734 18.2034 18.5734 18.2034 18.5734
ATLAS ATLAS sdssj235144 0 18.2035 18.5727 18.2035 18.5727 18.2035 18.5727 18.2035 18.5727 18.2035 18.5727 18.2035 18.5727 18.2035 18.5727 18.2035 18.5727 18.2035 18.5727
ATLAS ATLAS sdssj235144 0 18.1989 18.5714 18.1989 18.5714 18.1989 18.5714 18.1989 18.5714 18.1989 18.5714 18.1989 18.5714 18.1989 18.5714 18.1989 18.5714 18.1989 18.5714
ATLAS ATLAS sdssj235144 0 18.2042 18.572 18.2042 18.572 18.2042 18.572 18.2042 18.572 18.2042 18.572 18.2042 18.572 18.2042 18.572 18.2042 18.572 18.2042 18.572
ATLAS ATLAS sdssj235144 0 18.2066 18.5747 18.2066 18.5747 18.2066 18.5747 18.2066 18.5747 18.2066 18.5747 18.2066 18.5747 18.2066 18.5747 18.2066 18.5747 18.2066 18.5747
ATLAS ATLAS sdssj235144 0 18.2011 18.5721 18.2011 18.5721 18.2011 18.5721 18.2011 18.5721 18.2011 18.5721 18.2011 18.5721 18.2011 18.5721 18.2011 18.5721 18.2011 18.5721
ATLAS ATLAS sdssj235144 0 18.2007 18.5701 18.2007 18.5701 18.2007 18.5701 18.2007 18.5701 18.2007 18.5701 18.2007 18.5701 18.2007 18.5701 18.2007 18.5701 18.2007 18.5701
ATLAS ATLAS sdssj235144 0 18.2033 18.573 18.2033 18.573 18.2033 18.573 18.2033 18.573 18.2033 18.573 18.2033 18.573 18.2033 18.573 18.2033 18.573 18.2033 18.573
ATLAS ATLAS sdssj235144 0 18.202 18.573 18.202 18.573 18.202 18.573 18.202 18.573 18.202 18.573 18.202 18.573 18.202 18.573 18.202 18.573 18.202 18.573
ATLAS ATLAS sdssj235144 0 18.2011 18.5725 18.2011 18.5725 18.2011 18.5725 18.2011 18.5725 18.2011 18.5725 18.2011 18.5725 18.2011 18.5725 18.2011 18.5725 18.2011 18.5725
ATLAS ATLAS sdssj235144 0 18.2052 18.5742 18.2052 18.5742 18.2052 18.5742 18.2052 18.5742 18.2052 18.5742 18.2052 18.5742 18.2052 18.5742 18.2052 18.5742 18.2052 18.5742
ATLAS ATLAS sdssj235144 0 18.2013 18.5709 18.2013 18.5709 18.2013 18.5709 18.2013 18.5709 18.2013 18.5709 18.2013 18.5709 18.2013 18.5709 18.2013 18.5709 18.2013 18.5709
ATLAS ATLAS sdssj235144 0 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738
ATLAS ATLAS sdssj235144 0 18.2038 18.5719 18.2038 18.5719 18.2038 18.5719 18.2038 18.5719 18.2038 18.5719 18.2038 18.5719 18.2038 18.5719 18.2038 18.5719 18.2038 18.5719
ATLAS ATLAS sdssj235144 0 18.2008 18.5705 18.2008 18.5705 18.2008 18.5705 18.2008 18.5705 18.2008 18.5705 18.2008 18.5705 18.2008 18.5705 18.2008 18.5705 18.2008 18.5705
ATLAS ATLAS sdssj235144 0 18.2063 18.5742 18.2063 18.5742 18.2063 18.5742 18.2063 18.5742 18.2063 18.5742 18.2063 18.5742 18.2063 18.5742 18.2063 18.5742 18.2063 18.5742
ATLAS ATLAS sdssj235144 0 18.202 18.5726 18.202 18.5726 18.202 18.5726 18.202 18.5726 18.202 18.5726 18.202 18.5726 18.202 18.5726 18.202 18.5726 18.202 18.5726
ATLAS ATLAS sdssj235144 0 18.2001 18.5714 18.2001 18.5714 18.2001 18.5714 18.2001 18.5714 18.2001 18.5714 18.2001 18.5714 18.2001 18.5714 18.2001 18.5714 18.2001 18.5714
ATLAS ATLAS sdssj235144 0 18.2026 18.5727 18.2026 18.5727 18.2026 18.5727 18.2026 18.5727 18.2026 18.5727 18.2026 18.5727 18.2026 18.5727 18.2026 18.5727 18.2026 18.5727
ATLAS ATLAS sdssj235144 0 18.2025 18.5717 18.2025 18.5717 18.2025 18.5717 18.2025 18.5717 18.2025 18.5717 18.2025 18.5717 18.2025 18.5717 18.2025 18.5717 18.2025 18.5717
ATLAS ATLAS sdssj235144 0 18.1995 18.5711 18.1995 18.5711 18.1995 18.5711 18.1995 18.5711 18.1995 18.5711 18.1995 18.5711 18.1995 18.5711 18.1995 18.5711 18.1995 18.5711
ATLAS ATLAS sdssj235144 0 18.2045 18.5741 18.2045 18.5741 18.2045 18.5741 18.2045 18.5741 18.2045 18.5741 18.2045 18.5741 18.2045 18.5741 18.2045 18.5741 18.2045 18.5741
ATLAS ATLAS sdssj235144 0 18.1998 18.5699 18.1998 18.5699 18.1998 18.5699 18.1998 18.5699 18.1998 18.5699 18.1998 18.5699 18.1998 18.5699 18.1998 18.5699 18.1998 18.5699
ATLAS ATLAS sdssj235144 0 18.2008 18.5747 18.2008 18.5747 18.2008 18.5747 18.2008 18.5747 18.2008 18.5747 18.2008 18.5747 18.2008 18.5747 18.2008 18.5747 18.2008 18.5747
ATLAS ATLAS sdssj235144 0 18.2019 18.5688 18.2019 18.5688 18.2019 18.5688 18.2019 18.5688 18.2019 18.5688 18.2019 18.5688 18.2019 18.5688 18.2019 18.5688 18.2019 18.5688
ATLAS ATLAS sdssj235144 0 18.206 18.5747 18.206 18.5747 18.206 18.5747 18.206 18.5747 18.206 18.5747 18.206 18.5747 18.206 18.5747 18.206 18.5747 18.206 18.5747
ATLAS ATLAS sdssj235144 0 18.201 18.5698 18.201 18.5698 18.201 18.5698 18.201 18.5698 18.201 18.5698 18.201 18.5698 18.201 18.5698 18.201 18.5698 18.201 18.5698
ATLAS ATLAS sdssj235144 0 18.2009 18.5702 18.2009 18.5702 18.2009 18.5702 18.2009 18.5702 18.2009 18.5702 18.2009 18.5702 18.2009 18.5702 18.2009 18.5702 18.2009 18.5702
ATLAS ATLAS sdssj235144 0 18.2057 18.5772 18.2057 18.5772 18.2057 18.5772 18.2057 18.5772 18.2057 18.5772 18.2057 18.5772 18.2057 18.5772 18.2057 18.5772 18.2057 18.5772
ATLAS ATLAS sdssj235144 0 18.1992 18.5724 18.1992 18.5724 18.1992 18.5724 18.1992 18.5724 18.1992 18.5724 18.1992 18.5724 18.1992 18.5724 18.1992 18.5724 18.1992 18.5724
ATLAS ATLAS sdssj235144 0 18.201 18.5713 18.201 18.5713 18.201 18.5713 18.201 18.5713 18.201 18.5713 18.201 18.5713 18.201 18.5713 18.201 18.5713 18.201 18.5713
ATLAS ATLAS sdssj235144 0 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738 18.2028 18.5738
ATLAS ATLAS sdssj235144 0 18.2023 18.5705 18.2023 18.5705 18.2023 18.5705 18.2023 18.5705 18.2023 18.5705 18.2023 18.5705 18.2023 18.5705 18.2023 18.5705 18.2023 18.5705
ATLAS ATLAS sdssj235144 0 18.2025 18.5708 18.2025 18.5708 18.2025 18.5708 18.2025 18.5708 18.2025 18.5708 18.2025 18.5708 18.2025 18.5708 18.2025 18.5708 18.2025 18.5708
ATLAS ATLAS sdssj235144 0 18.2014 18.5708 18.2014 18.5708 18.2014 18.5708 18.2014 18.5708 18.2014 18.5708 18.2014 18.5708 18.2014 18.5708 18.2014 18.5708 18.2014 18.5708
ATLAS ATLAS sdssj235144 0 18.2003 18.5707 18.2003 18.5707 18.2003 18.5707 18.2003 18.5707 18.2003 18.5707 18.2003 18.5707 18.2003 18.5707 18.2003 18.5707 18.2003 18.5707
ATLAS ATLAS sdssj235144 0 18.2018 18.5701 18.2018 18.5701 18.2018 18.5701 18.2018 18.5701 18.2018 18.5701 18.2018 18.5701 18.2018 18.5701 18.2018 18.5701 18.2018 18.5701
ATLAS ATLAS sdssj235144 0 18.1992 18.5701 18.1992 18.5701 18.1992 18.5701 18.1992 18.5701 18.1992 18.5701 18.1992 18.5701 18.1992 18.5701 18.1992 18.5701 18.1992 18.5701
ATLAS ATLAS sdssj235144 0 18.2035 18.5724 18.2035 18.5724 18.2035 18.5724 18.2035 18.5724 18.2035 18.5724 18.2035 18.5724 18.2035 18.5724 18.2035 18.5724 18.2035 18.5724
ATLAS ATLAS sdssj235144 0 18.2006 18.57 18.2006 18.57 18.2006 18.57 18.2006 18.57 18.2006 18.57 18.2006 18.57 18.2006 18.57 18.2006 18.57 18.2006 18.57
ATLAS ATLAS sdssj235144 0 18.2034 18.5743 18.2034 18.5743 18.2034 18.5743 18.2034 18.5743 18.2034 18.5743 18.2034 18.5743 18.2034 18.5743 18.2034 18.5743 18.2034 18.5743
ATLAS ATLAS sdssj235144 0 18.2015 18.5718 18.2015 18.5718 18.2015 18.5718 18.2015 18.5718 18.2015 18.5718 18.2015 18.5718 18.2015 18.5718 18.2015 18.5718 18.2015 18.5718
ATLAS ATLAS sdssj235144 0 18.1994 18.5703 18.1994 18.5703 18.1994 18.5703 18.1994 18.5703 18.1994 18.5703 18.1994 18.5703 18.1994 18.5703 18.1994 18.5703 18.1994 18.5703
ATLAS ATLAS sdssj235144 0 18.2003 18.5718 18.2003 18.5718 18.2003 18.5718 18.2003 18.5718 18.2003 18.5718 18.2003 18.5718 18.2003 18.5718 18.2003 18.5718 18.2003 18.5718
ATLAS ATLAS sdssj235144 0 18.1983 18.5698 18.1983 18.5698 18.1983 18.5698 18.1983 18.5698 18.1983 18.5698 18.1983 18.5698 18.1983 18.5698 18.1983 18.5698 18.1983 18.5698
ATLAS ATLAS sdssj235144 0 18.2017 18.5727 18.2017 18.5727 18.2017 18.5727 18.2017 18.5727 18.2017 18.5727 18.2017 18.5727 18.2017 18.5727 18.2017 18.5727 18.2017 18.5727
ATLAS ATLAS sdssj235144 0 18.2003 18.5709 18.2003 18.5709 18.2003 18.5709 18.2003 18.5709 18.2003 18.5709 18.2003 18.5709 18.2003 18.5709 18.2003 18.5709 18.2003 18.5709
ATLAS ATLAS sdssj235144 0 18.2005 18.572 18.2005 18.572 18.2005 18.572 18.2005 18.572 18.2005 18.572 18.2005 18.572 18.2005 18.572 18.2005 18.572 18.2005 18.572
ATLAS ATLAS sdssj235144 0 18.2019 18.5712 18.2019 18.5712 18.2019 18.5712 18.2019 18.5712 18.2019 18.5712 18.2019 18.5712 18.2019 18.5712 18.2019 18.5712 18.2019 18.5712
ATLAS ATLAS sdssj235144 0 18.2017 18.5712 18.2017 18.5712 18.2017 18.5712 18.2017 18.5712 18.2017 18.5712 18.2017 18.5712 18.2017 18.5712 18.2017 18.5712 18.2017 18.5712
ATLAS ATLAS sdssj235144 0 18.2017 18.5723 18.2017 18.5723 18.2017 18.5723 18.2017 18.5723 18.2017 18.5723 18.2017 18.5723 18.2017 18.5723 18.2017 18.5723 18.2017 18.5723
ATLAS ATLAS sdssj235144 0 18.2009 18.5713 18.2009 18.5713 18.2009 18.5713 18.2009 18.5713 18.2009 18.5713 18.2009 18.5713 18.2009 18.5713 18.2009 18.5713 18.2009 18.5713
ATLAS ATLAS sdssj235144 0 18.2012 18.5713 18.2012 18.5713 18.2012 18.5713 18.2012 18.5713 18.2012 18.5713 18.2012 18.5713 18.2012 18.5713 18.2012 18.5713 18.2012 18.5713
ATLAS ATLAS sdssj235144 0 18.2022 18.5717 18.2022 18.5717 18.2022 18.5717 18.2022 18.5717 18.2022 18.5717 18.2022 18.5717 18.2022 18.5717 18.2022 18.5717 18.2022 18.5717
ATLAS ATLAS sdssj235144 0 18.2026 18.5716 18.2026 18.5716 18.2026 18.5716 18.2026 18.5716 18.2026 18.5716 18.2026 18.5716 18.2026 18.5716 18.2026 18.5716 18.2026 18.5716
ATLAS ATLAS sdssj235144 0 18.1997 18.5695 18.1997 18.5695 18.1997 18.5695 18.1997 18.5695 18.1997 18.5695 18.1997 18.5695 18.1997 18.5695 18.1997 18.5695 18.1997 18.5695
ATLAS ATLAS sdssj235144 0 18.2028 18.5712 18.2028 18.5712 18.2028 18.5712 18.2028 18.5712 18.2028 18.5712 18.2028 18.5712 18.2028 18.5712 18.2028 18.5712 18.2028 18.5712
ATLAS ATLAS sdssj235144 0 18.2016 18.5713 18.2016 18.5713 18.2016 18.5713 18.2016 18.5713 18.2016 18.5713 18.2016 18.5713 18.2016 18.5713 18.2016 18.5713 18.2016 18.5713
ATLAS ATLAS sdssj235144 0 18.2036 18.5725 18.2036 18.5725 18.2036 18.5725 18.2036 18.5725 18.2036 18.5725 18.2036 18.5725 18.2036 18.5725 18.2036 18.5725 18.2036 18.5725
ATLAS ATLAS sssj045822 0 17.9082 18.3497 17.9082 18.3497 17.9082 18.3497 17.9082 18.3497 17.9082 18.3497 17.9082 18.3497 17.9082 18.3497 17.9082 18.3497 17.9082 18.3497
ATLAS ATLAS sssj045822 0 17.9078 18.35 17.9078 18.35 17.9078 18.35 17.9078 18.35 17.9078 18.35 17.9078 18.35 17.9078 18.35 17.9078 18.35 17.9078 18.35
ATLAS ATLAS sssj045822 0 17.9077 18.3498 17.9077 18.3498 17.9077 18.3498 17.9077 18.3498 17.9077 18.3498 17.9077 18.3498 17.9077 18.3498 17.9077 18.3498 17.9077 18.3498
ATLAS ATLAS sssj045822 0 17.9067 18.3484 17.9067 18.3484 17.9067 18.3484 17.9067 18.3484 17.9067 18.3484 17.9067 18.3484 17.9067 18.3484 17.9067 18.3484 17.9067 18.3484
ATLAS ATLAS sssj045822 0 17.9075 18.3482 17.9075 18.3482 17.9075 18.3482 17.9075 18.3482 17.9075 18.3482 17.9075 18.3482 17.9075 18.3482 17.9075 18.3482 17.9075 18.3482
ATLAS ATLAS sssj045822 0 17.9078 18.3494 17.9078 18.3494 17.9078 18.3494 17.9078 18.3494 17.9078 18.3494 17.9078 18.3494 17.9078 18.3494 17.9078 18.3494 17.9078 18.3494
ATLAS ATLAS sssj045822 0 17.91 18.3534 17.91 18.3534 17.91 18.3534 17.91 18.3534 17.91 18.3534 17.91 18.3534 17.91 18.3534 17.91 18.3534 17.91 18.3534
ATLAS ATLAS sssj045822 0 17.9064 18.3497 17.9064 18.3497 17.9064 18.3497 17.9064 18.3497 17.9064 18.3497 17.9064 18.3497 17.9064 18.3497 17.9064 18.3497 17.9064 18.3497
ATLAS ATLAS sssj045822 0 17.9076 18.3491 17.9076 18.3491 17.9076 18.3491 17.9076 18.3491 17.9076 18.3491 17.9076 18.3491 17.9076 18.3491 17.9076 18.3491 17.9076 18.3491
ATLAS ATLAS sssj045822 0 17.9069 18.3502 17.9069 18.3502 17.9069 18.3502 17.9069 18.3502 17.9069 18.3502 17.9069 18.3502 17.9069 18.3502 17.9069 18.3502 17.9069 18.3502
ATLAS ATLAS sssj045822 0 17.9076 18.3498 17.9076 18.3498 17.9076 18.3498 17.9076 18.3498 17.9076 18.3498 17.9076 18.3498 17.9076 18.3498 17.9076 18.3498 17.9076 18.3498
ATLAS ATLAS sssj045822 0 17.9077 18.3488 17.9077 18.3488 17.9077 18.3488 17.9077 18.3488 17.9077 18.3488 17.9077 18.3488 17.9077 18.3488 17.9077 18.3488 17.9077 18.3488
ATLAS ATLAS sssj045822 0 17.9043 18.3472 17.9043 18.3472 17.9043 18.3472 17.9043 18.3472 17.9043 18.3472 17.9043 18.3472 17.9043 18.3472 17.9043 18.3472 17.9043 18.3472
ATLAS ATLAS sssj045822 0 17.9086 18.3502 17.9086 18.3502 17.9086 18.3502 17.9086 18.3502 17.9086 18.3502 17.9086 18.3502 17.9086 18.3502 17.9086 18.3502 17.9086 18.3502
ATLAS ATLAS sssj045822 0 17.9088 18.3513 17.9088 18.3513 17.9088 18.3513 17.9088 18.3513 17.9088 18.3513 17.9088 18.3513 17.9088 18.3513 17.9088 18.3513 17.9088 18.3513
ATLAS ATLAS sssj045822 0 17.9048 18.3489 17.9048 18.3489 17.9048 18.3489 17.9048 18.3489 17.9048 18.3489 17.9048 18.3489 17.9048 18.3489 17.9048 18.3489 17.9048 18.3489
ATLAS ATLAS sssj045822 0 17.9047 18.3476 17.9047 18.3476 17.9047 18.3476 17.9047 18.3476 17.9047 18.3476 17.9047 18.3476 17.9047 18.3476 17.9047 18.3476 17.9047 18.3476
ATLAS ATLAS sssj045822 0 17.9078 18.3509 17.9078 18.3509 17.9078 18.3509 17.9078 18.3509 17.9078 18.3509 17.9078 18.3509 17.9078 18.3509 17.9078 18.3509 17.9078 18.3509
ATLAS ATLAS sssj045822 0 17.9039 18.3478 17.9039 18.3478 17.9039 18.3478 17.9039 18.3478 17.9039 18.3478 17.9039 18.3478 17.9039 18.3478 17.9039 18.3478 17.9039 18.3478
ATLAS ATLAS sssj045822 0 17.911 18.3506 17.911 18.3506 17.911 18.3506 17.911 18.3506 17.911 18.3506 17.911 18.3506 17.911 18.3506 17.911 18.3506 17.911 18.3506
ATLAS ATLAS sssj045822 0 17.9058 18.3488 17.9058 18.3488 17.9058 18.3488 17.9058 18.3488 17.9058 18.3488 17.9058 18.3488 17.9058 18.3488 17.9058 18.3488 17.9058 18.3488
ATLAS ATLAS sssj045822 0 17.9089 18.3526 17.9089 18.3526 17.9089 18.3526 17.9089 18.3526 17.9089 18.3526 17.9089 18.3526 17.9089 18.3526 17.9089 18.3526 17.9089 18.3526
ATLAS ATLAS sssj045822 0 17.9081 18.3502 17.9081 18.3502 17.9081 18.3502 17.9081 18.3502 17.9081 18.3502 17.9081 18.3502 17.9081 18.3502 17.9081 18.3502 17.9081 18.3502
ATLAS ATLAS sssj045822 0 17.9067 18.349 17.9067 18.349 17.9067 18.349 17.9067 18.349 17.9067 18.349 17.9067 18.349 17.9067 18.349 17.9067 18.349 17.9067 18.349
ATLAS ATLAS sssj045822 0 17.908 18.3512 17.908 18.3512 17.908 18.3512 17.908 18.3512 17.908 18.3512 17.908 18.3512 17.908 18.3512 17.908 18.3512 17.908 18.3512
ATLAS ATLAS sssj045822 0 17.9043 18.347 17.9043 18.347 17.9043 18.347 17.9043 18.347 17.9043 18.347 17.9043 18.347 17.9043 18.347 17.9043 18.347 17.9043 18.347
ATLAS ATLAS sssj045822 0 17.9077 18.3487 17.9077 18.3487 17.9077 18.3487 17.9077 18.3487 17.9077 18.3487 17.9077 18.3487 17.9077 18.3487 17.9077 18.3487 17.9077 18.3487
ATLAS ATLAS sssj045822 0 17.9057 18.3487 17.9057 18.3487 17.9057 18.3487 17.9057 18.3487 17.9057 18.3487 17.9057 18.3487 17.9057 18.3487 17.9057 18.3487 17.9057 18.3487
ATLAS ATLAS sssj045822 0 17.9083 18.3508 17.9083 18.3508 17.9083 18.3508 17.9083 18.3508 17.9083 18.3508 17.9083 18.3508 17.9083 18.3508 17.9083 18.3508 17.9083 18.3508
